평균,평년,현재기온,이슬점온도,체감온도,습도,해면기압,tor20_o,tor20_x
1836,1692,23.1,19.6,72.0,81.0,1003.4,0,1
1839,1695,28.8,16.6,76.0,48.0,1004.3,0,1
1835,1719,25.1,19.9,74.0,73.0,1008.4,0,1
1835,1702,23.5,18.8,72.0,75.0,1006.0,0,1
1834,1704,24.7,13.8,71.0,51.0,1005.7,0,1
1797,1710,25.0,15.0,72.0,54.0,1005.6,0,1
1797,1709,26.4,14.1,73.0,47.0,1008.9,0,1
1838,1709,26.3,16.2,74.0,54.0,1010.6,0,1
1850,1706,28.3,14.8,75.0,44.0,1011.2,0,1
1844,1702,27.2,14.5,74.0,46.0,1009.6,0,1
1828,1699,27.6,15.2,75.0,47.0,1004.4,0,1
1830,1701,24.9,22.3,75.0,86.0,993.6,0,1
1882,1707,29.0,14.7,76.0,42.0,1007.5,0,1
1888,1717,20.7,20.3,69.0,98.0,1000.9,1,0
1881,1716,26.4,19.0,75.0,64.0,996.4,1,0
1837,1720,25.9,15.2,73.0,52.0,1002.7,1,0
1850,1730,30.4,10.3,76.0,29.0,1004.3,1,0
1957,1778,24.7,16.1,72.0,59.0,1011.7,1,0
1939,1793,19.8,19.4,68.0,98.0,1010.9,1,0
2033,1806,22.4,22.0,72.0,98.0,1011.8,1,0
2254,1820,26.2,20.9,76.0,73.0,1015.6,1,0
2249,1820,30.3,20.8,80.0,57.0,1013.7,1,0
2304,1821,23.7,21.7,74.0,89.0,1000.2,1,0
2286,1826,28.5,21.7,79.0,67.0,1004.6,1,0
2306,1825,28.6,20.8,78.0,63.0,1005.4,1,0
2455,1827,26.5,14.5,73.0,48.0,1005.6,1,0
2403,1824,24.4,13.5,71.0,51.0,1005.5,1,0
2404,1854,27.0,21.7,77.0,73.0,1009.6,1,0
2400,1878,28.2,22.8,79.0,73.0,1008.1,1,0
2380,1905,26.4,26.0,79.0,98.0,1007.4,1,0
2302,1931,28.1,23.8,80.0,78.0,1009.7,1,0
2302,1940,26.8,26.1,80.0,96.0,1008.5,1,0
2240,2014,32.9,20.4,82.0,48.0,1007.5,1,0
2244,2057,33.2,21.0,82.0,49.0,1007.9,1,0
2213,2091,33.2,24.6,85.0,61.0,1008.1,1,0
2133,2108,32.8,24.2,84.0,61.0,1009.7,1,0
2139,2115,34.1,23.1,84.0,53.0,1009.3,1,0
2133,2161,33.4,17.5,81.0,39.0,1010.8,1,0
2114,2092,32.3,19.5,81.0,47.0,1008.2,1,0
2114,2098,34.7,22.0,84.0,48.0,1008.5,1,0
2039,2111,34.6,21.2,84.0,46.0,1011.7,1,0
2035,2195,35.7,21.5,84.0,44.0,1015.1,1,0
2026,2468,34.2,16.5,81.0,35.0,1008.4,1,0
1992,2448,31.0,17.6,79.0,45.0,1007.8,1,0
1993,2450,24.0,23.6,75.0,98.0,1003.4,1,0
1855,2462,29.4,19.9,79.0,57.0,1005.3,1,0
1798,2300,31.0,16.5,78.0,42.0,1007.1,1,0
1793,2224,29.1,17.2,77.0,49.0,1013.3,1,0
1809,2195,29.9,18.9,78.0,52.0,1013.5,1,0
1876,2227,28.0,20.2,77.0,63.0,1009.9,1,0
1870,2229,24.4,23.3,75.0,94.0,1003.4,1,0
1870,2228,27.1,18.6,76.0,60.0,1007.1,1,0
1870,2237,23.4,22.8,74.0,97.0,992.4,1,0
1883,2234,28.0,17.2,76.0,52.0,1005.7,1,0
1861,2241,28.8,17.0,77.0,49.0,1007.6,1,0
1858,2247,29.4,19.7,78.0,56.0,1007.8,1,0
1854,2193,28.6,16.8,76.0,49.0,1011.9,1,0
1832,2194,26.6,18.7,75.0,62.0,1009.9,1,0
1813,2198,28.5,19.4,77.0,58.0,1013.2,1,0
1774,2207,26.6,20.4,76.0,69.0,1010.0,1,0
1769,2212,29.2,17.7,77.0,50.0,1012.3,1,0
1785,2209,27.2,11.2,73.0,37.0,1011.4,1,0
1795,2213,26.6,9.8,72.0,35.0,1014.8,1,0
1777,2217,28.8,8.4,74.0,28.0,1013.3,1,0
1716,2233,27.7,9.4,73.0,32.0,1013.3,1,0
1687,2232,28.1,12.8,74.0,39.0,1009.9,1,0
1702,2248,24.8,7.8,70.0,34.0,1019.7,1,0
1679,2246,24.8,10.6,71.0,41.0,1020.4,1,0
1669,2254,24.2,13.4,71.0,51.0,1016.4,1,0
1597,2271,19.7,18.7,67.0,94.0,1015.2,1,0
1577,2286,26.7,13.4,73.0,44.0,1016.4,1,0
1504,2293,28.2,16.1,76.0,48.0,1014.0,1,0
1505,2262,26.2,13.9,73.0,47.0,1016.4,1,0
1512,2248,19.2,18.5,66.0,96.0,1011.6,0,1
1537,2256,22.9,17.5,71.0,72.0,1006.2,0,1
1518,2283,26.1,15.1,73.0,51.0,1006.2,0,1
1486,2387,21.5,10.9,67.0,51.0,1023.4,0,1
1496,2390,25.1,24.2,25.1,95.0,998.0,0,1
1469,2398,22.2,-1.8,22.2,20.0,1014.3,0,1
1472,2447,26.1,7.6,26.1,31.0,1022.3,0,1
1445,2445,26.1,11.4,26.1,40.0,1019.7,0,1
1451,2449,26.2,7.7,26.2,31.0,1016.9,0,1
1543,2439,24.0,7.5,24.0,35.0,1012.3,0,1
1538,2439,20.7,2.0,20.7,29.0,1016.2,0,1
1538,2465,22.2,1.2,22.2,25.0,1020.0,0,1
1449,2441,24.6,3.8,24.6,26.0,1019.4,0,1
1383,2405,24.9,9.5,24.9,38.0,1019.3,0,1
1349,2381,23.7,8.9,23.7,39.0,1018.4,0,1
1357,2251,26.8,8.7,26.8,32.0,1016.5,0,1
1359,2221,27.1,8.0,27.1,30.0,1016.0,0,1
1350,2171,25.5,12.6,25.5,45.0,1017.6,0,1
1356,2153,21.7,11.1,21.7,51.0,1021.7,0,1
1350,2146,24.4,9.1,24.4,38.0,1018.2,0,1
1362,2095,20.0,4.8,20.0,37.0,1020.7,0,1
1361,2136,20.2,11.6,20.2,58.0,1007.3,0,1
1361,2143,18.5,-4.9,18.4,20.0,1019.3,0,1
1336,2132,19.4,3.5,19.4,35.0,1021.3,0,1
1330,2196,16.4,-6.6,15.8,20.0,1024.4,0,1
1360,1800,17.0,1.0,16.6,34.0,1020.7,0,1
1354,1856,21.2,2.4,21.2,29.0,1028.3,0,1
1315,1831,22.2,5.9,22.2,35.0,1027.6,0,1
1360,1762,23.0,4.4,23.0,30.0,1023.4,0,1
1354,1751,21.5,6.9,21.5,39.0,1025.8,0,1
1353,1673,18.5,11.5,18.5,64.0,1015.1,0,1
1347,1722,16.4,6.7,16.3,53.0,1022.0,0,1
1340,1682,19.0,8.0,19.0,49.0,1027.5,0,1
1353,1693,18.6,6.7,18.3,46.0,1028.9,0,1
1343,1670,13.2,12.0,13.0,93.0,1019.7,0,1
1354,1724,19.7,9.8,19.7,53.0,1017.2,0,1
1354,1664,17.8,16.4,17.8,92.0,1018.0,0,1
1364,1521,14.0,7.5,13.9,65.0,1017.3,0,1
1340,1524,15.9,6.0,15.9,52.0,1022.0,0,1
1338,1550,19.3,3.8,19.3,36.0,1022.0,0,1
1354,1502,17.3,10.6,17.3,65.0,1021.5,0,1
1354,1528,15.6,1.6,15.6,39.0,1022.8,0,1
1359,1530,8.8,5.1,6.8,78.0,1017.0,0,1
1370,1534,6.4,-10.8,2.2,28.0,1013.0,0,1
1370,1535,9.0,-7.2,6.4,31.0,1022.7,0,1
1377,1545,15.9,-1.2,15.5,31.0,1021.5,0,1
1387,1551,17.0,2.1,17.0,37.0,1024.4,0,1
1397,1558,15.1,8.5,14.3,65.0,1014.5,0,1
1408,1574,9.1,-8.4,5.8,28.0,1012.4,0,1
1432,1631,16.8,2.3,16.8,38.0,1027.1,0,1
1432,1639,16.2,1.8,16.2,38.0,1030.0,0,1
1432,1658,13.6,4.1,13.4,53.0,1029.2,0,1
1360,1655,11.1,10.6,10.1,97.0,1016.8,0,1
1373,1693,10.5,2.5,9.2,58.0,1017.0,0,1
1375,1783,11.9,5.7,11.1,66.0,1020.2,0,1
1326,1785,13.8,1.0,13.2,42.0,1016.4,0,1
1333,1783,7.6,-6.9,4.6,35.0,1016.1,0,1
1340,1578,3.8,-17.7,-0.1,19.0,1025.3,0,1
1333,1566,7.2,-9.6,4.3,29.0,1030.5,0,1
1324,1517,13.0,3.8,12.0,54.0,1024.6,0,1
1331,1622,13.8,0.0,13.8,39.0,1027.1,0,1
1326,1611,11.9,6.7,11.0,71.0,1019.6,0,1
1351,1598,12.8,-1.1,11.7,38.0,1016.7,0,1
1359,1564,4.5,-15.4,0.8,22.0,1029.6,0,1
1355,1613,6.8,-18.9,4.1,14.0,1031.0,0,1
1309,1630,8.9,-12.9,8.2,20.0,1028.2,0,1
1306,1608,9.3,-6.9,6.9,31.0,1028.3,0,1
1305,1544,13.7,-4.5,12.8,28.0,1020.6,0,1
1315,1571,5.1,-9.8,2.9,33.0,1024.8,0,1
1337,1549,8.0,-9.9,6.0,27.0,1021.5,0,1
1279,1524,7.1,-11.6,4.2,25.0,1021.7,0,1
1251,1529,5.9,-12.1,2.5,26.0,1020.8,0,1
1270,1494,7.4,-20.2,4.8,12.0,1022.5,0,1
1270,1470,6.6,-24.1,3.1,9.0,1019.8,0,1
1269,1445,2.0,-2.3,-4.0,73.0,1020.8,0,1
1315,1420,6.3,-9.6,4.3,31.0,1021.0,0,1
1315,1405,8.0,-8.9,5.9,29.0,1020.5,0,1
1342,1358,5.3,-12.2,0.9,27.0,1008.5,0,1
1336,1337,-0.1,-21.0,-5.6,19.0,1015.9,0,1
1336,1320,0.3,-18.9,-4.9,22.0,1027.3,0,1
1336,1306,1.2,-19.9,-2.5,19.0,1024.5,0,1
1345,1291,5.2,-24.0,1.6,10.0,1027.2,0,1
1424,1289,1.0,-16.8,-3.2,25.0,1026.4,0,1
1506,1292,6.9,-9.9,4.3,29.0,1024.9,0,1
1542,1301,9.3,-8.3,7.9,28.0,1029.3,0,1
1688,1309,3.4,-5.0,1.6,54.0,1027.5,0,1
1752,1302,5.2,3.3,2.9,88.0,1021.7,0,1
1811,1310,5.2,-14.2,1.5,23.0,1025.0,0,1
1900,1311,4.9,-19.6,1.4,15.0,1024.9,0,1
1910,1307,6.3,-15.0,3.5,20.0,1025.4,0,1
2126,1306,6.7,-12.4,4.5,24.0,1023.8,0,1
2079,1305,8.5,-20.3,6.0,11.0,1020.7,0,1
1985,1278,14.3,-1.7,13.6,33.0,1023.1,0,1
1926,1272,12.3,11.6,11.4,96.0,1020.3,0,1
1905,1297,2.5,-19.4,-1.8,18.0,1018.0,0,1
1879,1312,5.3,-11.7,2.0,28.0,1017.3,0,1
1879,1328,7.6,-15.2,5.4,18.0,1024.0,0,1
1742,1341,10.4,-7.8,8.9,27.0,1022.7,0,1
1739,1353,14.2,-11.3,13.9,16.0,1026.2,0,1
1751,1358,10.7,-6.2,9.8,30.0,1028.7,0,1
1744,1359,12.3,-8.8,10.9,22.0,1025.7,0,1
1733,1364,6.3,-7.0,3.3,38.0,1029.9,0,1
1721,1370,7.3,-15.5,5.0,18.0,1033.1,0,1
1712,1370,8.5,-3.3,7.3,43.0,1029.0,0,1
1729,1343,3.4,-10.6,-0.4,35.0,1021.9,0,1
1770,1331,13.2,-6.9,12.4,24.0,1024.8,0,1
1827,1314,17.6,-2.1,17.4,26.0,1023.9,0,1
1813,1292,11.7,11.6,11.7,100.0,1026.0,0,1
1813,1266,17.1,3.7,17.1,41.0,1015.4,0,1
1809,1261,9.6,-0.6,8.9,49.0,1020.5,0,1
1825,1259,11.6,0.3,11.3,46.0,1018.2,0,1
1915,1263,9.3,-12.5,7.3,20.0,1021.5,0,1
1928,1266,7.5,-10.8,5.2,26.0,1022.9,0,1
1934,1272,12.6,-2.1,11.3,36.0,1018.8,0,1
1918,1289,12.2,-3.6,9.9,33.0,1022.4,0,1
1918,1307,17.9,-3.5,17.9,23.0,1020.3,0,1
1931,1315,17.7,4.6,17.3,42.0,1020.1,0,1
1921,1325,13.5,13.4,13.1,100.0,1011.2,0,1
1915,1335,14.7,4.0,13.4,49.0,1023.6,0,1
1844,1333,17.8,4.0,17.7,40.0,1016.3,0,1
1892,1329,16.4,4.0,15.6,44.0,1016.3,0,1
1907,1326,12.8,-3.1,12.8,33.0,1023.3,0,1
1901,1324,10.8,0.2,10.8,48.0,1024.2,0,1
1904,1317,18.0,-6.0,17.8,19.0,1020.9,0,1
1909,1321,15.5,1.5,14.3,39.0,1021.6,0,1
1912,1326,22.3,-3.9,22.3,17.0,1018.7,0,1
1921,1334,18.4,6.2,18.4,45.0,1016.1,0,1
1898,1341,23.5,4.9,68.0,30.0,1014.2,0,1
1908,1334,13.0,8.2,56.0,73.0,1014.3,0,1
1908,1337,20.7,1.0,65.0,27.0,1014.8,0,1
1928,1341,19.6,-0.4,64.0,26.0,1017.6,0,1
1891,1351,15.6,11.5,60.0,77.0,1008.7,0,1
1881,1364,23.5,6.7,68.0,34.0,1014.6,0,1
1891,1387,11.6,2.8,54.0,55.0,1021.9,0,1
1957,1396,18.0,3.4,62.0,38.0,1016.8,0,1
2078,1400,25.5,8.4,71.0,34.0,1009.9,0,1
2114,1398,19.8,3.0,64.0,33.0,1021.2,0,1
2162,1395,19.6,-0.9,63.0,25.0,1014.8,0,1
2181,1387,21.4,-0.6,65.0,23.0,1022.9,0,1
2197,1383,21.7,-0.3,66.0,23.0,1021.0,0,1
2197,1382,17.0,16.9,63.0,100.0,1001.3,0,1
2199,1385,25.3,13.4,72.0,48.0,1009.4,0,1
2208,1404,25.0,2.4,69.0,23.0,1017.3,0,1
2188,1410,24.2,9.3,70.0,39.0,1015.0,0,1
2174,1412,14.3,10.6,58.0,79.0,1007.5,0,1
2115,1393,17.0,10.5,62.0,66.0,1007.5,0,1
2104,1390,20.7,3.8,65.0,33.0,1013.8,0,1
2118,1395,24.0,17.9,72.0,69.0,1015.8,0,1
2098,1397,18.5,18.1,65.0,98.0,995.7,0,1
2098,1401,25.7,-0.4,69.0,18.0,1003.7,0,1
2197,1425,24.0,10.6,70.0,43.0,1009.9,0,1
2192,1431,15.9,15.8,61.0,100.0,1004.2,0,1
2192,1420,20.3,13.0,66.0,63.0,1010.2,0,1
2224,1411,24.6,7.2,70.0,33.0,1014.6,0,1
2219,1422,22.9,12.5,69.0,52.0,1019.6,0,1
2255,1451,21.2,5.9,66.0,37.0,1010.7,0,1
2227,1550,26.8,5.6,71.0,26.0,1015.0,0,1
2230,1559,28.9,11.4,75.0,34.0,1017.9,0,1
2211,1561,30.4,10.3,76.0,29.0,1017.5,0,1
2179,1574,28.1,10.7,74.0,34.0,1017.7,0,1
2185,1632,27.8,15.7,75.0,48.0,1013.7,0,1
2185,1589,19.6,19.5,67.0,100.0,1006.9,0,1
2185,1601,25.2,11.0,71.0,41.0,1009.4,0,1
2161,1604,28.0,15.2,75.0,46.0,1008.7,0,1
2152,1628,28.7,11.7,74.0,35.0,1011.3,0,1
2134,1689,28.3,13.7,75.0,41.0,1006.6,0,1
2092,1696,30.8,12.6,77.0,33.0,1006.6,0,1
2054,1699,25.7,8.6,71.0,34.0,1007.8,0,1
1991,1699,27.4,10.9,73.0,36.0,1011.0,0,1
1952,1722,28.4,13.4,75.0,40.0,1010.9,0,1
1971,1732,26.3,18.1,75.0,61.0,1010.8,0,1
1910,1714,23.4,20.5,73.0,84.0,1010.1,0,1
1862,1665,27.1,18.6,76.0,60.0,1011.0,0,1
1820,1649,29.0,18.1,77.0,52.0,1012.9,0,1
1815,1620,28.4,19.0,77.0,57.0,1001.9,0,1
1809,1610,27.0,19.6,76.0,64.0,1004.9,0,1
1820,1618,24.7,20.1,74.0,76.0,1003.6,0,1
1778,1613,28.5,16.7,76.0,49.0,998.1,0,1
1737,1616,30.6,13.3,77.0,35.0,1008.7,0,1
1736,1615,27.8,24.8,80.0,84.0,1007.2,0,1
1746,1616,24.1,22.8,75.0,93.0,1009.6,0,1
1748,1615,24.3,22.7,75.0,91.0,1006.1,0,1
1753,1616,28.2,18.8,77.0,57.0,1007.5,0,1
1756,1615,24.0,23.9,75.0,100.0,996.1,0,1
1756,1620,22.5,22.4,73.0,100.0,1010.5,0,1
1733,1622,26.0,15.0,73.0,51.0,1012.0,0,1
1743,1632,25.9,19.5,75.0,68.0,1012.1,0,1
1759,1634,26.2,24.6,78.0,91.0,1012.2,0,1
1755,1626,23.5,23.4,74.0,100.0,1009.3,0,1
1765,1647,24.9,24.9,77.0,100.0,1012.0,0,1
1801,1661,29.7,26.4,83.0,83.0,1014.0,0,1
1797,1676,29.7,25.8,82.0,80.0,1015.4,0,1
1826,1707,31.5,26.0,84.0,73.0,1014.8,0,1
1812,1729,28.7,24.6,81.0,79.0,1010.4,0,1
1801,1743,27.1,24.5,79.0,86.0,1005.2,0,1
1819,1745,26.0,24.9,78.0,94.0,1003.6,0,1
1826,1746,30.6,24.0,82.0,68.0,999.8,0,1
1761,1759,33.8,22.2,83.0,51.0,1000.3,0,1
1761,1775,32.2,20.4,81.0,50.0,1004.5,0,1
1768,1805,32.3,24.3,84.0,63.0,1009.7,0,1
1752,1821,30.4,23.3,81.0,66.0,1011.9,0,1
1752,1838,31.7,20.3,81.0,51.0,1013.2,0,1
1791,1852,30.7,22.3,81.0,61.0,1012.8,0,1
1789,1870,31.7,21.2,81.0,54.0,1011.6,0,1
1802,1899,31.3,26.7,85.0,77.0,1010.4,0,1
1802,1932,32.2,25.2,84.0,67.0,1007.9,0,1
1831,1953,32.5,25.0,84.0,65.0,1006.2,0,1
1832,1975,32.1,24.9,84.0,66.0,1007.5,0,1
1839,2004,32.4,26.6,85.0,72.0,1010.4,0,1
1864,2032,32.1,25.6,84.0,69.0,1009.5,0,1
1846,2059,30.7,25.7,83.0,75.0,1008.8,0,1
1867,2073,27.3,23.7,79.0,81.0,1009.8,0,1
1840,1840,30.9,23.2,82.0,64.0,1009.8,0,1
1840,1851,34.0,24.2,85.0,57.0,1009.9,0,1
1828,1867,32.9,24.6,84.0,62.0,1006.2,0,1
1828,1723,31.4,23.7,82.0,64.0,1008.7,0,1
1858,2279,32.8,25.6,85.0,66.0,1009.9,0,1
1843,2163,35.7,22.6,85.0,47.0,1008.9,0,1
1847,2202,34.3,26.5,87.0,64.0,1006.6,0,1
1837,2066,31.4,22.9,82.0,61.0,1001.4,0,1
1867,2070,32.3,23.5,83.0,60.0,1003.4,0,1
1934,2079,33.4,22.1,83.0,52.0,1005.8,0,1
1963,2052,33.4,22.1,83.0,52.0,1006.9,0,1
1930,2060,32.6,21.7,82.0,53.0,1005.7,0,1
1997,2054,31.4,21.2,81.0,55.0,1007.1,0,1
1979,2062,33.1,16.4,80.0,37.0,1006.7,0,1
2000,2061,33.2,23.2,84.0,56.0,1004.7,0,1
2043,2054,21.6,17.7,69.0,79.0,1009.3,0,1
2254,2025,23.9,14.5,71.0,56.0,1000.1,0,1
2438,1982,23.5,14.2,70.0,56.0,992.3,0,1
2597,1988,29.1,9.7,74.0,30.0,993.2,0,1
2775,1985,28.4,21.4,78.0,66.0,1004.6,0,1
2747,1982,19.7,19.0,67.0,96.0,1008.6,0,1
2842,1990,27.6,22.5,78.0,74.0,1009.9,0,1
2966,1964,27.9,23.2,79.0,76.0,1008.8,0,1
2926,1949,27.4,21.6,78.0,71.0,1005.3,0,1
2945,1944,28.4,15.9,76.0,47.0,1006.3,0,1
2914,1947,27.8,20.8,78.0,66.0,1009.2,0,1
2962,1956,20.3,19.6,68.0,96.0,1016.2,1,0
3053,1957,28.3,18.3,77.0,55.0,1017.7,1,0
3085,1913,22.5,14.8,69.0,62.0,1010.5,1,0
2989,1930,25.0,10.8,71.0,41.0,1014.7,1,0
3030,1910,23.6,12.8,70.0,51.0,1020.1,1,0
3009,1863,21.9,17.2,70.0,75.0,1017.7,1,0
2962,1843,24.3,16.7,72.0,63.0,1016.4,1,0
2965,1838,25.0,21.7,75.0,82.0,1016.2,1,0
2976,1832,28.0,23.1,79.0,75.0,1014.8,1,0
2934,1832,22.6,21.9,72.0,96.0,1013.6,1,0
2947,1834,18.3,15.7,64.0,85.0,1018.2,1,0
2920,1820,17.0,16.9,63.0,100.0,1015.4,1,0
3028,1794,26.3,18.1,26.3,61.0,1015.4,1,0
3069,1789,24.7,18.3,24.7,68.0,1004.9,1,0
3166,1789,26.8,16.1,26.8,52.0,1019.3,1,0
3301,1772,21.5,15.3,21.5,68.0,1020.7,1,0
3392,1769,20.3,11.7,20.3,58.0,1018.6,1,0
3471,1768,18.9,12.6,18.9,67.0,1018.4,1,0
3464,1762,22.9,10.9,22.9,47.0,1020.6,1,0
3420,1782,20.8,12.7,20.8,60.0,1022.5,1,0
3365,1765,24.4,9.9,24.4,40.0,1023.9,1,0
3336,1709,24.5,18.1,24.5,68.0,1015.4,1,0
3435,1683,21.9,15.4,21.9,67.0,1019.0,1,0
3468,1662,23.3,13.1,23.3,53.0,1016.6,1,0
3452,1644,23.5,12.1,23.5,49.0,1018.4,1,0
